Timestamp,MAC_Address,Frame_Number,RSSI,Data_Size,Raw_Hex_Data,frame_count,frame_type,vbat,mean_mag_z,sd_mag_z,mean_acc,sd_acc,max_acc,mean_mag_z_mt,sd_mag_z_mt,mean_acc_g,sd_acc_g,max_acc_g,flow_state,is_attached,lost_frames
2025-11-17 17:43:45.756,EC:69:0B:19:32:8E,1,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 98 18 00 00 0A 00 27 01 7A 0E 38 00 00 00 00 00 00 00 00 00,6296,10,9.984,31233,14350,0,0,0,31.233,14.35,0.0,0.0,0.0,31233,True,0
2025-11-17 17:43:46.769,EC:69:0B:19:32:8E,2,-65,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 99 18 00 00 0A 00 27 01 AB 0E 61 00 00 00 00 00 00 00 00 00,6297,10,9.984,-21759,24846,0,0,0,-21.759,24.846,0.0,0.0,0.0,21759,True,0
2025-11-17 17:43:48.780,EC:69:0B:19:32:8E,3,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9B 18 00 00 0A 00 27 01 8C 0E 37 00 00 00 00 00 00 00 00 00,6299,10,9.984,-29695,14094,0,0,0,-29.695,14.094,0.0,0.0,0.0,29695,True,1
2025-11-17 17:43:49.786,EC:69:0B:19:32:8E,4,-64,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9C 18 00 00 0A 00 26 01 8B 0E 3D 00 00 00 00 00 00 00 00 00,6300,10,9.728,-29951,15630,0,0,0,-29.951,15.63,0.0,0.0,0.0,29951,True,0
2025-11-17 17:43:50.790,EC:69:0B:19:32:8E,5,-65,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9D 18 00 00 0A 00 26 01 9A 0E 61 00 00 00 00 00 00 00 00 00,6301,10,9.728,-26111,24846,0,0,0,-26.111,24.846,0.0,0.0,0.0,26111,True,0
2025-11-17 17:43:51.801,EC:69:0B:19:32:8E,6,-63,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9E 18 00 00 0A 00 27 01 9E 0E 2B 00 00 00 00 00 00 00 00 00,6302,10,9.984,-25087,11022,0,0,0,-25.087,11.022,0.0,0.0,0.0,25087,True,0
2025-11-17 17:43:52.806,EC:69:0B:19:32:8E,7,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF 9F 18 00 00 0A 00 26 01 83 0E 3B 00 00 00 00 00 00 00 00 00,6303,10,9.728,-31999,15118,0,0,0,-31.999,15.118,0.0,0.0,0.0,31999,True,0
2025-11-17 17:43:54.820,EC:69:0B:19:32:8E,8,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A1 18 00 00 0A 00 26 01 A6 0E 4B 00 00 00 00 00 00 00 00 00,6305,10,9.728,-23039,19214,0,0,0,-23.039,19.214,0.0,0.0,0.0,23039,True,1
2025-11-17 17:43:55.823,EC:69:0B:19:32:8E,9,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A2 18 00 00 0A 00 26 01 64 0E 66 00 00 00 00 00 00 00 00 00,6306,10,9.728,25601,26126,0,0,0,25.601,26.126,0.0,0.0,0.0,25601,True,0
2025-11-17 17:43:56.819,EC:69:0B:19:32:8E,10,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A3 18 00 00 0A 00 26 01 42 0E 51 00 00 00 00 00 00 00 00 00,6307,10,9.728,16897,20750,0,0,0,16.897,20.75,0.0,0.0,0.0,16897,True,0
2025-11-17 17:43:57.831,EC:69:0B:19:32:8E,11,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A4 18 00 00 0A 00 26 01 E3 0D 87 00 00 00 00 00 00 00 00 00,6308,10,9.728,-7423,-30963,0,0,0,-7.423,-30.963,0.0,0.0,0.0,7423,True,0
2025-11-17 17:43:59.836,EC:69:0B:19:32:8E,12,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A6 18 00 00 0A 00 26 01 A6 0E 0A 00 00 00 00 00 00 00 00 00,6310,10,9.728,-23039,2574,0,0,0,-23.039,2.574,0.0,0.0,0.0,23039,True,1
2025-11-17 17:44:00.856,EC:69:0B:19:32:8E,13,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A7 18 00 00 0A 00 26 01 BC 0E 29 00 00 00 00 00 00 00 00 00,6311,10,9.728,-17407,10510,0,0,0,-17.407,10.51,0.0,0.0,0.0,17407,True,0
2025-11-17 17:44:02.842,EC:69:0B:19:32:8E,14,-64,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF A9 18 00 00 0A 00 26 01 B5 0E 24 00 00 00 00 00 00 00 00 00,6313,10,9.728,-19199,9230,0,0,0,-19.199,9.23,0.0,0.0,0.0,19199,True,1
2025-11-17 17:44:03.844,EC:69:0B:19:32:8E,15,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF AA 18 00 00 0A 00 26 01 C2 0E 33 00 00 00 00 00 00 00 00 00,6314,10,9.728,-15871,13070,0,0,0,-15.871,13.07,0.0,0.0,0.0,15871,True,0
2025-11-17 17:44:04.851,EC:69:0B:19:32:8E,16,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF AB 18 00 00 0A 00 26 01 97 0E 28 00 00 00 00 00 00 00 00 00,6315,10,9.728,-26879,10254,0,0,0,-26.879,10.254,0.0,0.0,0.0,26879,True,0
2025-11-17 17:44:05.861,EC:69:0B:19:32:8E,17,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF AC 18 00 00 0A 00 26 01 5B 0E 46 00 00 00 00 00 00 00 00 00,6316,10,9.728,23297,17934,0,0,0,23.297,17.934,0.0,0.0,0.0,23297,True,0
2025-11-17 17:44:06.867,EC:69:0B:19:32:8E,18,-64,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF AD 18 00 00 0A 00 27 01 75 0E 45 00 00 00 00 00 00 00 00 00,6317,10,9.984,29953,17678,0,0,0,29.953,17.678,0.0,0.0,0.0,29953,True,0
2025-11-17 17:44:07.869,EC:69:0B:19:32:8E,19,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF AE 18 00 00 0A 00 26 01 69 0E 41 00 00 00 00 00 00 00 00 00,6318,10,9.728,26881,16654,0,0,0,26.881,16.654,0.0,0.0,0.0,26881,True,0
2025-11-17 17:44:08.887,EC:69:0B:19:32:8E,20,-65,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF AF 18 00 00 0A 00 27 01 31 0E 47 00 00 00 00 00 00 00 00 00,6319,10,9.984,12545,18190,0,0,0,12.545,18.19,0.0,0.0,0.0,12545,True,0
2025-11-17 17:44:09.890,EC:69:0B:19:32:8E,21,-63,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B0 18 00 00 0A 00 27 01 45 0E 34 00 00 00 00 00 00 00 00 00,6320,10,9.984,17665,13326,0,0,0,17.665,13.326,0.0,0.0,0.0,17665,True,0
2025-11-17 17:44:11.892,EC:69:0B:19:32:8E,22,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B2 18 00 00 0A 00 26 01 3B 0E 38 00 00 00 00 00 00 00 00 00,6322,10,9.728,15105,14350,0,0,0,15.105,14.35,0.0,0.0,0.0,15105,True,1
2025-11-17 17:44:12.894,EC:69:0B:19:32:8E,23,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B3 18 00 00 0A 00 26 01 48 0E 3A 00 00 00 00 00 00 00 00 00,6323,10,9.728,18433,14862,0,0,0,18.433,14.862,0.0,0.0,0.0,18433,True,0
2025-11-17 17:44:13.894,EC:69:0B:19:32:8E,24,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B4 18 00 00 0A 00 27 01 51 0E 3E 00 00 00 00 00 00 00 00 00,6324,10,9.984,20737,15886,0,0,0,20.737,15.886,0.0,0.0,0.0,20737,True,0
2025-11-17 17:44:15.907,EC:69:0B:19:32:8E,25,-62,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B6 18 00 00 0A 00 26 01 4A 0E 40 00 00 00 00 00 00 00 00 00,6326,10,9.728,18945,16398,0,0,0,18.945,16.398,0.0,0.0,0.0,18945,True,1
2025-11-17 17:44:16.923,EC:69:0B:19:32:8E,26,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B7 18 00 00 0A 00 26 01 57 0E 39 00 00 00 00 00 00 00 00 00,6327,10,9.728,22273,14606,0,0,0,22.273,14.606,0.0,0.0,0.0,22273,True,0
2025-11-17 17:44:17.923,EC:69:0B:19:32:8E,27,-66,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B8 18 00 00 0A 00 26 01 63 0E 39 00 00 00 00 00 00 00 00 00,6328,10,9.728,25345,14606,0,0,0,25.345,14.606,0.0,0.0,0.0,25345,True,0
2025-11-17 17:44:18.925,EC:69:0B:19:32:8E,28,-69,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF B9 18 00 00 0A 00 27 01 4A 0E 30 00 00 00 00 00 00 00 00 00,6329,10,9.984,18945,12302,0,0,0,18.945,12.302,0.0,0.0,0.0,18945,True,0
2025-11-17 17:44:19.923,EC:69:0B:19:32:8E,29,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BA 18 00 00 0A 00 26 01 3F 0E 68 00 00 00 00 00 00 00 00 00,6330,10,9.728,16129,26638,0,0,0,16.129,26.638,0.0,0.0,0.0,16129,True,0
2025-11-17 17:44:20.940,EC:69:0B:19:32:8E,30,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BB 18 00 00 0A 00 26 01 1A 0E 2C 00 00 00 00 00 00 00 00 00,6331,10,9.728,6657,11278,0,0,0,6.657,11.278,0.0,0.0,0.0,6657,True,0
2025-11-17 17:44:21.938,EC:69:0B:19:32:8E,31,-67,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BC 18 00 00 0A 00 26 01 27 0E 38 00 00 00 00 00 00 00 00 00,6332,10,9.728,9985,14350,0,0,0,9.985,14.35,0.0,0.0,0.0,9985,True,0
2025-11-17 17:44:22.940,EC:69:0B:19:32:8E,32,-68,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BD 18 00 00 0A 00 27 01 4D 0E 7C 00 00 00 00 00 00 00 00 00,6333,10,9.984,19713,31758,0,0,0,19.713,31.758,0.0,0.0,0.0,19713,True,0
2025-11-17 17:44:23.940,EC:69:0B:19:32:8E,33,-62,46,02 01 06 14 09 42 6C 61 64 65 53 45 4E 53 45 5F 65 54 54 5F 53 41 49 4C 15 FF BE 18 00 00 0A 00 26 01 33 0E 76 00 00 00 00 00 00 00 00 00,6334,10,9.728,13057,30222,0,0,0,13.057,30.222,0.0,0.0,0.0,13057,True,0
